source,id_str,text,is_retweet,retweet_count,favorite_count
Twitter for iPhone,9.47E+17,"Jobs are kicking in and companies are coming back to the U.S. Unnecessary regulations and high taxes are being dramatically Cut, and it will only get better. MUCH MORE TO COME!",FALSE,24332,117013
Twitter for iPhone,9.47E+17,"I use Social Media not because I like to, but because it is the only way to fight a VERY dishonest and unfair “press,” now often referred to as Fake News Media. Phony and non-existent “sources” are being used more often than ever. Many stories &amp; reports a pure fiction!",FALSE,50342,195754
Twitter for iPhone,9.47E+17,"On Taxes: “This is the biggest corporate rate cut ever, going back to the corporate income tax rate of roughly 80 years ago.This is a huge pro-growth stimulus for the economy. Every year the Obama WH overstated how the economy would grow. Now real economics and jobs.” @WSJ Report",FALSE,16703,73325
Twitter for iPhone,9.47E+17,"Oppressive regimes cannot endure forever, and the day will come when the Iranian people will face a choice. The world is watching! https://t.co/kvv1uAqcZ9",FALSE,23270,78932
Twitter for iPhone,9.47E+17,"The entire world understands that the good people of Iran want change, and, other than the vast military power of the United States, that Iran’s people are what their leaders fear the most.... https://t.co/W8rKN9B6RT",FALSE,23532,77986
Twitter for iPhone,9.47E+17,"Many reports of peaceful protests by Iranian citizens fed up with regime’s corruption &amp; its squandering of the nation’s wealth to fund terrorism abroad. Iranian govt should respect their people’s rights, including right to express themselves. The world is watching! #IranProtests",FALSE,60821,138901
Twitter for iPhone,9.47E+17,"The Democrats have been told, and fully understand, that there can be no DACA without the desperately needed WALL at the Southern Border and an END to the horrible Chain Migration &amp; ridiculous Lottery System of Immigration etc. We must protect our Country at all cost!",FALSE,35208,142106
Twitter for iPhone,9.47E+17,"Why is the United States Post Office, which is losing many billions of dollars a year, while charging Amazon and others so little to deliver their packages, making Amazon richer and the Post Office dumber and poorer? Should be charging MUCH MORE!",FALSE,27652,118765
Twitter for iPhone,9.47E+17,"While the Fake News loves to talk about my so-called low approval rating, @foxandfriends just showed that my rating on Dec. 28, 2017, was approximately the same as President Obama on Dec. 28, 2009, which was 47%...and this despite massive negative Trump coverage &amp; Russia hoax!",FALSE,23184,98172
Twitter for iPhone,9.47E+17,"In the East, it could be the COLDEST New Year’s Eve on record. Perhaps we could use a little bit of that good old Global Warming that our Country, but not other countries, was going to pay TRILLIONS OF DOLLARS to protect against. Bundle up!",FALSE,65929,204151
Twitter for iPhone,9.47E+17,"Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/OeyTdFyl1Q https://t.co/wdLQkfdy4m",FALSE,15516,67092
Twitter for iPad,9.46E+17,"I've been saying it for a long, long time. #NoKo https://t.co/LQl7tGhMdO",FALSE,26402,73657
Twitter for iPhone,9.46E+17,Caught RED HANDED - very disappointed that China is allowing oil to go into North Korea. There will never be a friendly solution to the North Korea problem if this continues to happen!,FALSE,31963,124997
Twitter for iPhone,9.46E+17,Retail sales are at record numbers. We’ve got the economy going better than anyone ever dreamt - and you haven’t seen anything yet!,FALSE,21499,108370
Twitter for iPhone,9.46E+17,"Vanity Fair, which looks like it is on its last legs, is bending over backwards in apologizing for the minor hit they took at Crooked H. Anna Wintour, who was all set to be Amb to Court of St James’s &amp; a big fundraiser for CH, is beside herself in grief &amp; begging for forgiveness!",FALSE,14587,65832
Twitter for iPhone,9.46E+17,"“Arrests of MS-13 Members, Associates Up 83% Under Trump” 
https://t.co/70iPHy2Yqn",FALSE,21183,84891
Twitter for iPhone,9.46E+17,"“On 1/20 - the day Trump was inaugurated - an estimated 35,000 ISIS fighters held approx 17,500 square miles of territory in both Iraq and Syria. As of 12/21, the U.S. military est the remaining 1,000 or so fighters occupy roughly 1,900 square miles..” @jamiejmcintyre @dcexaminer https://t.co/OgYEuDgzD2",FALSE,19706,68505
Twitter for iPhone,9.46E+17,"Just left West Palm Beach Fire &amp; Rescue #2. Met with great men and women as representatives of those who do so much for all of us. Firefighters, paramedics, first responders - what amazing people they are!",FALSE,18464,108614
Twitter for iPhone,9.46E+17,"“On 1/20 - the day Trump was inaugurated - an estimated 35,000 ISIS fighters held approx 17,500 square miles of territory in both Iraq and Syria. As of 12/21, the U.S. military estimates the remaining 1,000 or so fighters occupy roughly 1,900 square miles...” via @jamiejmcintyre https://t.co/0lXKMUoPE9",FALSE,12128,38520
Twitter for iPhone,9.46E+17,"All signs are that business is looking really good for next year, only to be helped further by our Tax Cut Bill. Will be a great year for Companies and JOBS! Stock Market is poised for another year of SUCCESS!",FALSE,25344,130759
Twitter for iPhone,9.46E+17,"WOW, @foxandfrlends  “Dossier is bogus. Clinton Campaign, DNC funded Dossier. FBI CANNOT (after all of this time) VERIFY CLAIMS IN DOSSIER OF RUSSIA/TRUMP COLLUSION. FBI TAINTED.” And they used this Crooked Hillary pile of garbage as the basis for going after the Trump Campaign!",FALSE,35628,119478
Twitter for iPhone,9.46E+17,"Based on the fact that the very unfair and unpopular Individual Mandate has been terminated as part of our Tax Cut Bill, which essentially Repeals (over time) ObamaCare, the Democrats &amp; Republicans will eventually come together and develop a great new HealthCare plan!",FALSE,20656,110208
Twitter for iPhone,9.45E+17,"I hope everyone is having a great Christmas, then tomorrow it’s back to work in order to Make America Great Again (which is happening faster than anyone anticipated)!",FALSE,34926,199932
Twitter for iPhone,9.45E+17,MERRY CHRISTMAS!!! https://t.co/mYtV5GNdLl,FALSE,49883,203792
Twitter for iPhone,9.45E+17,MERRY CHRISTMAS!! https://t.co/xa2qxcisVV,FALSE,34038,151030
